product_id,sales_dollars_value,claim_id
36518,114898762.0,8
6967,56239442.0,8
2905,48188965.0,8
6732,16637380.0,39
6514,13263419.0,39
6722,9651308.0,39
11955,69778909.0,40
6633,47794071.0,40
6585,43731537.0,40
14222,4041245.0,152
14387,23640.0,152
14550,4.0,152
3222,1381680.0,163
3221,532222.0,163
11312,34547998.0,187
11495,30461762.0,187
11314,28563325.0,187
11326,10946876.0,193
12024,6585291.0,193
12050,4982397.0,193
14353,137474145.0,227
14352,128390631.0,227
14680,116638921.0,227
2485,159660670.0,430
2683,131933923.0,430
2681,93583128.0,430
2646,114139012.0,438
2656,87934286.0,438
11955,69778909.0,438
